reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	953	1994	1492	1352	1418
rrev	367	367	630	1726	1879
rscan	997	1031	1180	1444	1514
multirrand	888	930	1054	1223	1293
rrand	880	924	1118	1352	1290
