# reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1016	1944	1561	1933	1960
rrev	368	366	597	1307	1779
rscan	992	1033	1219	1428	1468
multirrand	880	934	1073	0	1286
rrand	893	941	1106	1320	1320
