reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1310	1605	1366	1511	1564
rrev	147	146	480	1103	1110
rscan	787	839	892	903	957
multirrand	688	757	831	837	879
rrand	719	791	869	896	936
