# reader VanillaRA VanillaOPT OSonly CrossInfo CII
1 1 10240 0 102400 6400
4 4 10240 0 102138 6463
8 8 10240 0 102095 6415
16 16 10240 0 102292 6410
32 32 10240 0 102091 6434
