PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
4,8192,131072,1,0,162.43,0.0
4,8192,131072,1,1,153.0,0.208595
4,8192,131072,2,0,164.59,0.0
4,8192,131072,2,1,152.01,0.233988
4,8192,131072,4,0,161.23,0.0
4,8192,131072,4,1,150.89,0.234915
4,8192,524288,1,0,153.39,0.0
4,8192,524288,1,1,143.41,0.07058
4,8192,524288,2,0,149.52,0.0
4,8192,524288,2,1,147.79,0.072472
4,8192,524288,4,0,152.85,0.0
4,8192,524288,4,1,152.47,0.067865
4,8192,1048576,1,0,145.06,0.0
4,8192,1048576,1,1,145.31,0.028541
4,8192,1048576,2,0,146.4,0.0
4,8192,1048576,2,1,144.36,0.029767
4,8192,1048576,4,0,150.86,0.0
4,8192,1048576,4,1,150.7,0.029502
4,8192,4194304,1,0,141.12,0.0
4,8192,4194304,1,1,145.35,0.002532
4,8192,4194304,2,0,142.47,0.0
4,8192,4194304,2,1,141.71,0.002648
4,8192,4194304,4,0,148.41,0.0
4,8192,4194304,4,1,145.07999999999998,0.002494
4,8192,16777216,1,0,145.3,0.0
4,8192,16777216,1,1,151.2,0.004931
4,8192,16777216,2,0,144.13,0.0
4,8192,16777216,2,1,143.69,0.004558
4,8192,16777216,4,0,142.26,0.0
4,8192,16777216,4,1,145.47,0.00465
4,16384,4096,1,0,918.4,0.0
4,16384,4096,1,1,1008.85,12.000688
4,16384,4096,2,0,934.01,0.0
4,16384,4096,2,1,953.88,12.143953
4,16384,4096,4,0,919.69,0.0
4,16384,4096,4,1,858.81,12.96601
4,16384,131072,1,0,651.28,0.0
4,16384,131072,1,1,607.9,0.628155
4,16384,131072,2,0,656.03,0.0
4,16384,131072,2,1,620.2,0.659269
4,16384,131072,4,0,660.42,0.0
4,16384,131072,4,1,612.56,0.770769
4,16384,524288,1,0,604.93,0.0
4,16384,524288,1,1,536.31,0.226826
4,16384,524288,2,0,599.09,0.0
4,16384,524288,2,1,593.03,0.230133
4,16384,524288,4,0,605.85,0.0
4,16384,524288,4,1,591.98,0.229331
4,16384,1048576,1,0,588.92,0.0
4,16384,1048576,1,1,591.27,0.126916
4,16384,1048576,2,0,599.79,0.0
4,16384,1048576,2,1,589.41,0.13375
4,16384,1048576,4,0,602.94,0.0
4,16384,1048576,4,1,589.22,0.122249
4,16384,4194304,1,0,583.13,0.0
4,16384,4194304,1,1,583.31,0.046558
4,16384,4194304,2,0,591.61,0.0
4,16384,4194304,2,1,591.49,0.049153
4,16384,4194304,4,0,585.3,0.0
4,16384,4194304,4,1,591.7,0.050676
4,16384,16777216,1,0,584.54,0.0
4,16384,16777216,1,1,581.09,0.001346
4,16384,16777216,2,0,581.5,0.0
4,16384,16777216,2,1,581.62,0.001428
4,16384,16777216,4,0,577.16,0.0
4,16384,16777216,4,1,585.01,0.00137
16,4096,4096,1,0,44.29,0.0
16,4096,4096,1,1,58.98,0.217636
16,4096,4096,2,0,41.94,0.0
16,4096,4096,2,1,53.5,0.220378
16,4096,4096,4,0,42.33,0.0
16,4096,4096,4,1,50.52,0.230536
16,4096,131072,1,0,38.25,0.0
16,4096,131072,1,1,38.93,0.01125
16,4096,131072,2,0,38.44,0.0
16,4096,131072,2,1,36.52,0.010467
16,4096,131072,4,0,35.21,0.0
16,4096,131072,4,1,37.46,0.010482
16,4096,524288,1,0,37.15,0.0
16,4096,524288,1,1,35.35,0.000919
16,4096,524288,2,0,37.69,0.0
16,4096,524288,2,1,33.76,0.000864
16,4096,524288,4,0,34.14,0.0
16,4096,524288,4,1,36.44,0.000902
16,4096,1048576,1,0,37.04,0.0
16,4096,1048576,1,1,33.93,0.003325
16,4096,1048576,2,0,36.73,0.0
16,4096,1048576,2,1,34.36,0.003475
16,4096,1048576,4,0,35.97,0.0
16,4096,1048576,4,1,38.26,0.003836
16,4096,4194304,1,0,33.17,0.0
16,4096,4194304,1,1,32.1,0.00061
16,4096,4194304,2,0,36.7,0.0
16,4096,4194304,2,1,35.86,0.000632
16,4096,4194304,4,0,35.16,0.0
16,4096,4194304,4,1,35.16,0.000538
16,4096,16777216,1,0,34.79,0.0
16,4096,16777216,1,1,35.19,0.000566
16,4096,16777216,2,0,37.65,0.0
16,4096,16777216,2,1,36.73,0.000613
16,4096,16777216,4,0,37.4,0.0
16,4096,16777216,4,1,34.07,0.000602
16,8192,4096,1,0,173.05,0.0
16,8192,4096,1,1,227.42000000000002,0.914245
16,8192,4096,2,0,170.07999999999998,0.0
16,8192,4096,2,1,219.42000000000002,0.920273
16,8192,4096,4,0,176.57999999999998,0.0
16,8192,4096,4,1,196.61,0.951587
16,8192,131072,1,0,140.09,0.0
16,8192,131072,1,1,143.28,0.056757
16,8192,131072,2,0,142.07,0.0
16,8192,131072,2,1,146.81,0.051203
