PROC,LOAD,READSIZE,TIMESPFETCH,PRED,nobg_Elapsed,nobg_READAHEAD_TIME,bg_Elapsed,bg_READAHEAD_TIME
1,16384,16777216,4,0,59.07,0.0,56.78,0.0
1,16384,16777216,4,1,57.04,0.0,56.04,0.0
4,4096,4096,1,0,54.71,0.0,58.18,0.0
4,4096,4096,1,1,62.57,14.668005,64.76,0.782762
4,4096,4096,2,0,57.28,0.0,57.79,0.0
4,4096,4096,2,1,59.95,13.440991,59.78,0.771564
4,4096,4096,4,0,56.5,0.0,57.97,0.0
4,4096,4096,4,1,53.93,6.769971,53.32,1.005487
4,4096,131072,1,0,45.63,0.0,42.18,0.0
4,4096,131072,1,1,38.98,0.327816,38.01,0.058242
4,4096,131072,2,0,42.2,0.0,42.31,0.0
4,4096,131072,2,1,38.88,0.333507,37.18,0.058695
4,4096,131072,4,0,41.24,0.0,40.02,0.0
4,4096,131072,4,1,37.12,0.362091,39.18,0.063036
4,4096,524288,1,0,39.53,0.0,37.44,0.0
4,4096,524288,1,1,39.15,0.111927,40.93,0.01141
4,4096,524288,2,0,37.63,0.0,40.49,0.0
4,4096,524288,2,1,40.45,0.115335,39.18,0.010896
4,4096,524288,4,0,42.67,0.0,40.96,0.0
4,4096,524288,4,1,41.74,0.111585,39.61,0.011537
4,4096,1048576,1,0,39.75,0.0,34.89,0.0
4,4096,1048576,1,1,35.26,0.001523,34.76,0.001408
4,4096,1048576,2,0,36.96,0.0,35.02,0.0
4,4096,1048576,2,1,35.2,0.001446,36.23,0.00145
4,4096,1048576,4,0,37.28,0.0,38.02,0.0
4,4096,1048576,4,1,39.52,0.001506,35.74,0.001536
4,4096,4194304,1,0,34.82,0.0,34.37,0.0
4,4096,4194304,1,1,35.01,0.084283,38.41,0.003488
4,4096,4194304,2,0,34.32,0.0,37.17,0.0
4,4096,4194304,2,1,34.86,0.082037,38.93,0.003493
4,4096,4194304,4,0,37.41,0.0,36.08,0.0
4,4096,4194304,4,1,39.48,0.083799,36.48,0.003355
4,4096,16777216,1,0,38.25,0.0,34.18,0.0
4,4096,16777216,1,1,34.61,0.009272,38.26,0.000645
4,4096,16777216,2,0,38.09,0.0,36.46,0.0
4,4096,16777216,2,1,37.25,0.008755,38.39,0.000645
4,4096,16777216,4,0,34.53,0.0,35.71,0.0
4,4096,16777216,4,1,37.03,0.007709,34.25,0.000629
4,8192,4096,1,0,225.72,0.0,228.36,0.0
4,8192,4096,1,1,246.6,50.249021,248.45,2.98531
4,8192,4096,2,0,230.8,0.0,232.97,0.0
4,8192,4096,2,1,239.92000000000002,41.06638,240.52,3.017543
4,8192,4096,4,0,222.72,0.0,228.02,0.0
4,8192,4096,4,1,210.25,22.644895,211.25,3.769542
4,8192,131072,1,0,159.5,0.0,162.43,0.0
4,8192,131072,1,1,152.22,25.275485,153.0,0.208595
4,8192,131072,2,0,166.23,0.0,164.59,0.0
4,8192,131072,2,1,153.8,23.083059,152.01,0.233988
4,8192,131072,4,0,160.03,0.0,161.23,0.0
4,8192,131072,4,1,151.76,15.362817,150.89,0.234915
4,8192,524288,1,0,150.85,0.0,153.39,0.0
4,8192,524288,1,1,147.64,0.899418,143.41,0.07058
4,8192,524288,2,0,158.5,0.0,149.52,0.0
4,8192,524288,2,1,146.41,0.972414,147.79,0.072472
