reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1142	2244	2058	2126	2076
rrev	297	298	1683	1627	1671
rscan	4171	4563	4665	4808	4201
multirrand	12123	13597	13958	14138	14366
rrand					
