# reader VanillaRA VanillaOPT OSonly CrossInfo CII CIP MINCORE
1 2151.55 2047.20 2132.51 2242.64 3299.31 2152.05 2046.53
4 1759.55 1754.66 1748.71 3778.51 4210.16 1766.86 1605.13
8 1655.89 1671.00 1643.03 3383.11 4460.32 1700.03 1601.94
16 1769.34 1787.20 1768.32 3417.60 4574.06 1769.06 1707.10
32 1882.11 1893.14 1876.22 3495.04 4556.44 1914.47 1923.45
