# reader VanillaRA OSonly CrossInfo CII CIP CIPI MINCORE
1 .539 .539 .196 .015 .527 .521 .539
4 .539 .539 .196 .015 .549 .503 .539
8 .539 .539 .196 .015 .526 .489 .539
16 .539 .540 .196 .015 .543 .607 .539
32 .539 .540 .196 .014 .526 .456 .539
