# reader VanillaRA OSonly CrossInfo CII CIP MINCORE
1 1811.84 1819.09 2207.51 3263.84 1990.54 1804.15
4 3420.89 3359.74 3749.09 4155.43 3276.23 3415.17
8 2416.47 2163.73 3882.25 4341.43 2288.64 2046.23
16 1936.55 2061.58 4011.00 4423.44 2215.65 2143.48
32 2127.35 1925.44 3985.84 4325.87 2133.75 1894.49
