# reader VanillaRA OSonly CrossInfo CII CIP CIPI MINCORE
1 1825.69 1845.47 3612.49 10865.84 1964.56 2050.46 1841.51
4 4189.23 4213.31 12664.48 41070.07 4267.69 4479.09 4121.13
8 4833.73 4822.38 20436.47 75524.47 5005.06 5051.38 3096.41
16 4984.43 5527.08 27960.56 116729.74 5274.06 5426.07 4265.38
32 5892.29 5768.42 32262.72 127767.78 5488.58 5812.21 5101.45
