# reader VanillaRA OSonly CrossInfo CII CIP CIPI MINCORE
1 .727 .727 .196 .015 .530 .508 .725
4 .728 .728 .196 .015 .533 .460 .728
8 .728 .728 .196 .015 .590 .549 .726
16 .726 .727 .196 .015 .600 .596 .728
32 .726 .727 .196 .014 .682 .745 .728
