reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1306	1600	1370	1528	1545
rrev	148	148	478	1060	1110
rscan	791	835	892	920	949
multirrand	698	753	817	842	892
rrand	727	782	869	877	927
