RASIZE,nopred-min,nopred,nopred-max
32,3786.2,3900.84,3952.5
128,3902.1,3923.91,3974.7
256,3913.9,3939.50,3955.0
512,3917.9,3943.85,3968.0
2048,3924.0,3941.88,3953.9
4096,3901.3,3927.40,3956.8
8192,3900.2,3923.74,3963.0
16384,3917.8,3936.94,3962.0
32768,3900.6,3931.94,3964.3
268435455,3901.2,3928.27,3947.7
