reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1115	1558	1882	1858	1844
rrev	319	321	965	1817	1905
rscan	1268	1333	1391	1413	1513
multirrand	1191	1249	1251	1270	1365
rrand   1159    1202    1368    1367    1383
