reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1297	2371	1840	1993	1977
rrev	295	295	1622	1814	1894
rscan	4769	4996	4216	5046	4819
multirrand	11241	11980	12886	12782	13031
rrand	12381	13011	13808	14124	14712
