reader	Vanilla	OSonly	CIP	CIPI	CII
1	357	757	1588	1663	1668
4	3017	4395	5436	5602	5747
8	6490	7296	8007	8311	8016
16	12555	13109	14235	14537	14390
32	29929	29761	32678	32595	34928
