reader	Vanilla	OSonly	CIP	CIPI	CII
1	357	758	1609	1659	1657
4	2989	4397	5451	5503	5589
8	6140	7541	8157	9410	8782
16	12405	13066	14144	13992	14387
32	30508	29575	32547	32482	33859
