reader	Vanilla	OSonly	CIP	CIPI	CII
1	344	698	1357	1403	1400
4	2735	3925	4767	4788	4787
8	5682	6972	7374	7412	8709
16	11110	12053	12755	12621	12775
32	27506	26742	29227	28888	29856
