reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1191	2176	1953	1975	2052
rrev	295	294	1581	1858	1914
rscan	4271	4542	4735	4832	4731
multirrand	10943	11819	12629	12886	12921
rrand	12175	13187	13344	14164	13726
