reader	Vanilla	OSonly	CIP	CIPI	CII
1	358	756	1606	1670	1691
4	3018	4344	5397	5578	5662
8	6255	7414	7908	8159	8300
16	12175	13187	13344	14164	13726
32	30332	30418	32931	32384	33862
