RASIZE,nopred-min,nopred,nopred-max
32,42.81,43.05,43.33
128,42.77,42.91,43.3
256,42.73,42.97,43.42
512,42.85,42.96,43.24
2048,42.73,42.90,43.05
4096,42.74,42.95,43.1
8192,42.82,43.09,43.43
16384,42.87,43.17,43.37
32768,43.11,43.34,43.71
65536,42.99,43.17,43.35
131072,43.04,43.23,43.7
268435455,43.06,43.15,43.35
