RASIZE,nopred-min,nopred,nopred-max
32,96.85,97.68,98.6
128,97.71,97.94,98.34
256,97.18,97.96,98.51
512,97.45,97.98,98.36
2048,97.52,98.13,99.03
4096,97.59,98.13,98.95
8192,97.51,97.86,98.49
16384,97.46,98.08,98.42
32768,97.28,98.32,98.97
65536,97.85,98.25,99.19
131072,97.65,98.07,98.7
268435455,97.83,98.52,99.53
