RASIZE,nopred-min,nopred,nopred-max
32,1441.9,1454.14,1469.5
128,1434.6,1453.00,1477.0
256,1438.8,1457.03,1466.8
512,1450.4,1459.37,1472.5
2048,1449.3,1457.93,1475.7
4096,1439.1,1460.52,1472.6
8192,1451.6,1458.92,1465.0
16384,1437.2,1457.44,1469.5
32768,1431.8,1453.79,1469.2
268435455,1437.3,1458.47,1473.7
