RASIZE,nopred-min,nopred,nopred-max
32,124.88,125.95,127.42
128,123.8,125.08,126.16
256,124.5,125.83,127.04
512,123.89,125.44,126.66
2048,124.03,125.18,127.46
4096,124.24,125.25,125.89
8192,124.85,126.37,128.83
16384,125.28,126.29,128.72
32768,125.1,125.93,127
65536,125.29,126.03,126.68
131072,123.66,125.48,127.48
268435455,124.37,125.66,126.96
