RASIZE,nopred-min,nopred,nopred-max
32,18.09,18.27,18.43
128,17.98,18.28,18.51
256,18.11,18.22,18.45
512,18.04,18.19,18.3
2048,18.02,18.23,18.34
4096,18.11,18.24,18.52
8192,18.28,18.35,18.45
16384,18.42,18.56,18.82
32768,18.49,18.66,18.91
268435455,18.44,18.61,18.88
