RASIZE,nopred-min,nopred,nopred-max
32,2070.8,2090.32,2108.2
128,2076.0,2084.46,2089.3
256,2072.5,2084.06,2100.7
512,2075.4,2083.53,2095.0
2048,2061.8,2080.76,2094.0
4096,2064.6,2081.81,2093.5
8192,2076.1,2089.32,2097.0
16384,2081.1,2088.56,2102.0
32768,2070.7,2084.32,2106.7
65536,2066.2,2085.83,2093.9
131072,2076.2,2089.70,2099.0
268435455,2059.1,2080.31,2095.2
