RASIZE,nopred-min,nopred,nopred-max
32,36.99,37.06,37.26
128,36.9,36.98,37.08
256,36.73,36.92,37.19
512,36.74,36.87,36.95
2048,36.68,36.79,36.92
4096,36.76,36.88,37.22
8192,36.77,36.85,36.96
16384,36.88,37.01,37.14
32768,36.86,37.04,37.2
65536,36.85,36.99,37.1
131072,36.61,36.88,37.08
268435455,36.6,36.85,37.04
