RASIZE,nopred-min,nopred,nopred-max
32,37.96,39.49,50.16
128,37.93,38.10,38.34
256,37.85,38.06,38.39
512,37.92,38.10,38.45
2048,37.88,38.07,38.23
4096,37.94,38.21,38.91
8192,38,38.29,38.89
16384,38.17,38.34,38.56
32768,38.17,38.43,38.86
65536,38.09,38.24,38.38
131072,37.97,38.22,38.91
268435455,37.94,38.08,38.34
