AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,174.5,174.76,174.9
2,415.8,418.36,424.2
4,982.7,984.58,987.6
8,2187.1,2200.36,2208.3
16,4654.0,4661.00,4678.2
