AppThreads,OSONLY-min,OSONLY-avg,OSONLY-max
1,294.5,296.12,297.0
2,593.4,600.36,608.3
4,1218.0,1220.22,1223.2
8,2448.0,2469.92,2483.0
16,4836.1,4875.92,4907.1
