AppThreads,CBNBB-min,CBNBB-avg,CBNBB-max
1,795.3,803.46,810.5
2,986.9,1012.94,1039.8
4,1606.5,1639.62,1669.6
8,2893.7,2917.66,2947.9
16,5372.9,5441.54,5500.6
