AppThreads,CFNMB-min,CFNMB-avg,CFNMB-max
1,766.2,805.60,823.9
2,978.6,1018.98,1054.0
4,1566.2,1611.18,1658.8
8,2878.4,2913.38,2945.9
16,5410.0,5483.38,5542.1
