AppThreads,CFPMB-min,CFPMB-avg,CFPMB-max
1,591.9,593.24,595.3
2,833.0,845.44,866.5
4,1400.8,1430.26,1443.8
8,2609.0,2625.04,2636.5
16,4914.8,4948.22,4979.0
