AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,1332.3,1345.6,1359.9
2,1610.3,1633.5,1649.1
4,2734.7,2756.52,2781.9
8,4853.2,4961.38,5023.1
16,9840.5,9865.6,9870.8
