AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,1325.0,1346.52,1363.8
2,1524.4,1556.7,1579.0
4,2723.5,2736.10,2744.1
8,4989.3,5006.4,5012.3
16,9804.5,9844.3,9846.3
