AppThreads,CBNBB-min,CBNBB-avg,CBNBB-max
1,1365.5,1383.26,1421.0
2,1630.0,1669.88,1712.9
4,2796.6,2828.08,2867.5
8,5135.5,5160.04,5173.8
16,10066.4,10158.00,10217.9
