reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	957	1772	1526	1837	1498
rrev	347	344	579	1534	1773
rscan	977	1022	1178	1305	1412
multirrand	884	925	1087	1298	1288
rrand	893	937	1103	1241	1310
