AppThreads,OSONLY-min,OSONLY-avg,OSONLY-max
1,295.8,296.20,296.9
2,598.1,612.42,618.1
4,1229.6,1232.80,1236.3
8,2493.1,2501.90,2506.0
16,4970.0,4978.48,4987.9
