# reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1114	1552	1.495	1568	1503
rrev	349	345	584	1294	1277
rscan	1005	1013	1169	1387	1464
multirrand	879	921	1099	1255	1281
rrand	888	931	1101	1193	1302
