AppThreads,CN-min,CN-avg,CN-max
1,885.81,887.06,888.02
2,1537.14,1539.18,1540.42
4,2416.27,2417.40,2418.26
8,3257.06,3261.02,3263.09
16,3382.77,3386.36,3397.07
