AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,616.65,619.36,622.38
2,1145.45,1149.28,1153.00
4,1964.71,1968.83,1976.53
8,3044.73,3047.50,3049.44
16,3395.14,3397.67,3399.90
