AppThreads,CPNV-min,CPNV-avg,CPNV-max
1,--sync=0,,389.1
2,--sync=0,,703.5
4,--sync=0,,1309.6
8,2493.5,2507.78,2520.4
16,4836.4,4873.30,4906.5
