AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,174.9,175.12,175.3
2,416.5,422.54,426.4
4,983.6,986.62,989.1
8,2198.0,2205.42,2212.9
16,4653.7,4672.76,4694.0
