AppThreads,CNI-min,CNI-avg,CNI-max
1,759.7,761.12,764.2
2,955.5,986.64,999.3
4,1555.1,1576.08,1596.7
8,2801.9,2812.48,2826.4
16,5188.7,5223.68,5247.8
