lock_var,onlyapp_pred,onlylib_pred,onlyos_pred,lib-os_pred,app-os_pred
futex_q,29228764.38,34675101.14,28327415.43,31688518.24,29391782.43
xa_lock,72211520.07,70053.70,938.70,1200.42,72697148.71
R-mmap_lock,16602.81,22668.08,21866.97,20237.24,10973.51
W-mmap_lock,3323.66,5071.34,4091.12,5272.14,2397.43
ptlock,1374.96,2069.68,2019.81,1548.22,1177.92
page_wait_table,1468.84,3922808.90,291.71,263.91,208.05
