reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1278	2074	1470	2072	2145
rrev	209	208	376	1609	1641
rscan	941	967	1117	1391	1434
multirrand	857	885	1056	1255	1356
rrand	879	910	1090	1334	1396
