reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1266	2132	1460	2034	2106
rrev	210	209	373	1565	1633
rscan	924	963	1104	1377	1407
multirrand	861	895	1069	1281	1356
rrand	869	903	1087	1341	1410
