AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,174.7,174.76,174.9
2,407.7,414.80,418.1
4,985.9,992.44,1002.0
8,2190.1,2194.62,2202.6
16,4654.1,4667.58,4683.3
