AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,566.5,587.48,595.8
2,844.6,852.46,866.8
4,1428.0,1437.92,1458.6
8,2607.0,2615.70,2627.9
16,4895.9,4948.62,4970.3
