AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,791.9,799.50,808.2
2,976.9,995.12,1021.7
4,1602.6,1622.66,1646.5
8,2878.8,2902.56,2944.5
16,5390.0,5422.96,5462.7
