# reader Vanilla OSonly Cross_Info CII
1 0 0 0 0
4 0 0 0 0
8 0 0 0 0
16 0 0 0 0
32 0 0 0 0
1 4.80133e+10 0 7.9977e+10 7.75107e+09
4 4.80114e+10 0 7.9977e+10 7.75107e+09
8 4.80133e+10 0 7.9977e+10 7.75107e+09
16 4.80133e+10 0 7.9977e+10 7.75107e+09
32 4.80133e+10 0 7.9977e+10 7.75107e+09
