# reader Vanilla OSonly Cross_Info CII
1 479800 488579 504695 505347
4 1127429 1144106 1194070 1195883
8 1993688 2035452 2089561 2101522
16 3602109 3716690 3787248 3787934
32 5638324 5780531 5884294 5787487
