AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,546.7,577.7,599.3
2,838.2,854.38,881.7
4,1418.3,1431.26,1439.3
8,2611.1,2620.08,2628.4
16,4764.3,4900.42,4942.2
