AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,578.6,589.6,599.5
2,842.9,857.82,868.4
4,1418.3,1430.3,1439.7
8,2612.6,2619.60,2622.5
16,4904.3,4940.3,4952.0
