reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1212	2296	1963	2021	1968
rrev	294	295	1552	1828	1908
rscan	4017	4715	4931	4804	4317
multirrand	11171	11785	12438	12746	12255
rrand	11923	12595	13940	14430	14493
