reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1165	2394	2024	2005	2002
rrev	295	299	1596	1846	1863
rscan	3990	4122	4762	4783	4537
multirrand	11020	11863	12528	12732	12579
rrand	12402	13333	14066	13792	14068
