reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1123	2233	1780	1842	1985
rrev	321	319	962	1825	1875
rscan	1289	1398	1422	1434	1506
multirrand	1108	1154	1250	1287	1284
rrand	1159	1202	1368	1337	1383
