RASIZE,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
32,356.34,359.30,362.73,357.66,358.37,359.23
64,352.91,354.46,357.41,351.3,352.02,352.99
128,355.17,357.23,360.77,354.53,356.45,362.59
256,338.9,342.78,348.19,342.11,342.68,343.49
512,323.3,331.76,335.17,333.07,334.65,335.94
1024,333.18,336.07,338.77,332.46,334.59,336.22
2048,322.7,331.34,334.98,330.69,331.55,332.2
268435455,914.35,1126.90,1313.45,768.25,950.37,1104.01
