AppThreads,CPNI-min,CPNI-avg,CPNI-max
1,702.86,707.10,710.42
2,1274.91,1278.38,1283.79
4,2094.87,2096.96,2101.89
8,3071.57,3074.35,3078.24
16,3373.36,3377.69,3380.58
