reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1285	2112	1466	1995	2136
rrev	210	208	375	1594	1616
rscan	940	974	1119	1323	1400
multirrand	843	883	1044	1273	1341
rrand	872	891	1094	1314	1420
