AppThreads,CFPMB-min,CFPMB-avg,CFPMB-max
1,2770.50,2773.65,2779.16
2,2946.55,2953.77,2964.21
4,3261.35,3274.02,3296.97
8,3344.40,3354.54,3362.72
16,3352.67,3357.90,3363.94
