AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,1488.34,1495.25,1498.31
2,2447.41,2450.57,2455.37
4,3360.46,3362.02,3363.21
8,3404.72,3404.79,3404.92
16,3405.20,3405.53,3405.64
