AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,1419.9,1453.64,1476.8
2,1587.5,1697.34,1755.6
4,2890.8,2915.34,2941.3
8,5273.3,5303.42,5338.0
16,10261.5,10359.94,10495.4
